author                               ,area_of_interest        ,categories                                                                                     ,tags                                                                                                                                                                               ,title                                                                                                                     ,sub_title                                                                                                                 ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,date_published      ,link
Wijnand Stoefs                       ,carbon-pricing          ,climate-finance                                                                                ,"european-green-deal,just-transition"                                                                                                                                              ,EU starts taking just transition seriously                                                                                ,EU starts taking just transition seriously                                                                                ,The European Commission’s (EC) plan to mobilise more than 1 trillion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2020-01-23 00:00:00 ,https://carbonmarketwatch.org/2020/01/23/the-eu-starts-taking-just-transition-seriously/
Wijnand Stoefs                       ,carbon-pricing          ,decarbonising-european-industry                                                                ,"eu-emissions-trading-system,eu-industry,industrial-decarbonisation"                                                                                                               ,EU carbon market state aid rules moving in the right direction – but not far enough                                       ,EU carbon market state aid rules moving in the right direction – but not far enough                                       ,"New EU state aid guidelines for compensating industry for higher electricity costs under the EU carbon market reduce the number of eligible sectors and limit aid to those investing in energy efficiency. However, if this so far inefficient and expensive scheme is to continue, further significant improvements are needed to ensure that it helps Europe become carbon neutral."                                                                                                                                                                                                        ,2020-02-17 00:00:00 ,https://carbonmarketwatch.org/2020/02/17/eu-carbon-market-state-aid-rules-moving-in-the-right-direction-but-not-far-enough/
Kaisa Amaral                         ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Carbon Market Watch agenda – spring 2020                                                                                  ,Carbon Market Watch agenda – spring 2020                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/02/28/carbon-market-watch-agenda-spring-2020/
Gilles Dufrasne                      ,international-transport ,aviation                                                                                       ,"corsia,international-civil-aviation-organisation-icao"                                                                                                                            ,"CORSIA: demand, supply and scaremongering"                                                                               ,"CORSIA: demand, supply and scaremongering"                                                                               ,"Warnings about a shortage of credits under the future aviation carbon market are unfounded. The upcoming decision on what airlines will be able to buy must, therefore, focus on ensuring that only credits from high-quality projects are eligible."                                                                                                                                                                                                                                                                                                                                         ,2020-02-26 00:00:00 ,https://carbonmarketwatch.org/2020/02/26/corsia-demand-supply-and-scaremongering/
Wijnand Stoefs                       ,international-transport ,shipping                                                                                       ,"eu-emissions-trading-system,european-parliament,emissions-from-shipping,international-maritime-organisation-imo"                                                                  ,High time the maritime sector sailed into the EU carbon market                                                            ,High time the maritime sector sailed into the EU carbon market                                                            ,"The EU is considering putting a price on carbon pollution from ships in the absence of movement in the international talks. While not enough to curb the sector’s soaring emissions, bringing it under Europe’s carbon market would be a big step in the right direction."                                                                                                                                                                                                                                                                                                                    ,2020-02-27 00:00:00 ,https://carbonmarketwatch.org/2020/02/27/high-time-the-maritime-sector-sailed-into-the-eu-carbon-market/
Kaisa Amaral                         ,climate-governance      ,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market"                     ,"eu-emissions-trading-system,eu-industrial-strategy"                                                                                                                               ,Why the Green Deal needs a strong industrial climate plan                                                                 ,Why the Green Deal needs a strong industrial climate plan                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/06/why-the-green-deal-needs-a-strong-industrial-climate-plan/
Kaisa Amaral                         ,climate-governance      ,national-energy-and-climate-plans-necps                                                        ,national-energy-and-climate-plans                                                                                                                                                  ,Climate Law improves oversight over EU Member States’ climate policy planning                                             ,Climate Law improves oversight over EU Member States’ climate policy planning                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/04/32249/
Kaisa Amaral                         ,climate-governance      ,eu-carbon-market                                                                               ,"european-green-deal,eu-climate-law"                                                                                                                                               ,What does the EU Climate Law have to do with cement?                                                                      ,What does the EU Climate Law have to do with cement?                                                                      ,"Committing to climate neutrality in the long term sends an important signal, but getting there needs short-term climate action and will not happen without cleaning up Europe’s heavy industry."                                                                                                                                                                                                                                                                                                                                                                                              ,2020-03-09 00:00:00 ,https://carbonmarketwatch.org/2020/03/09/what-does-the-eu-climate-law-have-to-do-with-cement/
Kaisa Amaral                         ,international-transport ,"global-markets,climate-finance,aviation"                                                      ,                                                                                                                                                                                   ,ICAO decision on aviation carbon market rules a step in the right direction but fails to exclude all junk credits         ,ICAO decision on aviation carbon market rules a step in the right direction but fails to exclude all junk credits         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/16/icao-decision-on-aviation-carbon-market-rules-a-step-in-the-right-direction-but-fails-to-exclude-all-junk-credits/
Kaisa Amaral                         ,climate-governance      ,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market"                     ,"eu-emissions-trading-system,eu-industrial-strategy,eu-climate-law"                                                                                                                ,EU industry strategy fails Green Deal test                                                                                ,EU industry strategy fails Green Deal test                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/03/10/eu-industry-strategy-fails-green-deal-test/
Gilles Dufrasne                      ,carbon-pricing          ,"human-rights,global-markets"                                                                  ,"international-climate-negotiations-unfccc,article-6"                                                                                                                              ,International carbon markets at the frontier to the wild west                                                             ,International carbon markets at the frontier to the wild west                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/01/20/international-carbon-markets-at-the-frontier-to-the-wild-west/
Falguni Joshi (Guest Interview)      ,carbon-pricing          ,"human-rights,sustainable-development,global-markets"                                          ,                                                                                                                                                                                   ,Indian perspective of COP25                                                                                               ,Indian perspective of COP25                                                                                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/12/12/indian-perspective-of-cop25/
Jeppe Bijker (Guest Article)         ,international-transport ,"aviation,shipping"                                                                            ,                                                                                                                                                                                   ,Activism on the high seas                                                                                                 ,Activism on the high seas                                                                                                 ,Sail to the COP – COP25 from two sides of the Atlantic Ocean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2019-12-12 00:00:00 ,https://carbonmarketwatch.org/2019/12/12/activism-on-the-high-seas/
Kaisa Amaral                         ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-emissions-trading-system,european-green-deal"                                                                                                                                  ,EU carbon market needs an overhaul to deliver Green Deal                                                                  ,EU carbon market needs an overhaul to deliver Green Deal                                                                  ,What matters to the atmosphere is that we reduce emissions and fast. Today’s failure to indicate a timely increase of the 2030 target needs to be corrected. This will be crucial also to create much needed international momentum to ramp up climate action in order to limit global warming to 1.5 degrees.”                                                                                                                                                                                                                                                                                ,2019-12-11 00:00:00 ,https://carbonmarketwatch.org/2019/12/11/eu-carbon-market-needs-an-overhaul-to-deliver-green-deal/
Kaisa Amaral                         ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,Do you want to solve the climate crisis – or do you want to cheat?                                                        ,Do you want to solve the climate crisis – or do you want to cheat?                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/12/13/do-you-want-to-solve-the-climate-crisis-or-do-you-want-to-cheat/
Kaisa Amaral                         ,carbon-pricing          ,global-markets                                                                                 ,                                                                                                                                                                                   ,OMGE (?!) – or how carbon markets must reduce emissions instead of shifting pollution around                              ,OMGE (?!) – or how carbon markets must reduce emissions instead of shifting pollution around                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/12/16/omge-or-how-carbon-markets-must-reduce-emissions-instead-of-shifting-pollution-around/
Andrew Coiley                        ,                        ,"human-rights,decarbonising-european-industry,sustainable-development,global-markets,aviation" ,                                                                                                                                                                                   ,TIME FOR ACTION!!                                                                                                         ,TIME FOR ACTION!!                                                                                                         ,"“We came to Madrid expecting governments to do their job and agree on carbon market rules that increase climate action. But after one week of talks, old credits and double-counting still pose a direct threat to the Paris Agreement. This makes a mockery of the slogan of these talks that it’s “time for action.”"                                                                                                                                                                                                                                                                       ,2019-12-12 00:00:00 ,https://carbonmarketwatch.org/2019/12/12/time-for-action/
Kaisa Amaral                         ,carbon-pricing          ,global-markets                                                                                 ,"international-climate-negotiations-unfccc,article-6,global-carbon-markets"                                                                                                        ,COP25: No deal on UN carbon markets as a number of countries reject loopholes                                             ,COP25: No deal on UN carbon markets as a number of countries reject loopholes                                             ,"People all over the world are asking for urgent action and several countries only offered accounting tricks and cover for climate inaction. These loopholes are nothing but a way of cheating the climate and betraying the people. What was on the table here could have been a real disaster for the Paris Agreement. We need carbon markets to increase climate action, not undermine it, to protect the environment and to uphold human rights and benefit local communities."                                                                                                            ,2019-12-15 00:00:00 ,https://carbonmarketwatch.org/2019/12/15/cop25-no-deal-on-un-carbon-markets-as-a-number-of-countries-reject-loopholes/
8 Jan 2020                           ,                        ,2050-climate-strategies                                                                        ,                                                                                                                                                                                   ,Carbon Market Watch is seeking a Finance Officer (Maternity cover)                                                        ,Carbon Market Watch is seeking a Finance Officer (Maternity cover)                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2020/01/08/carbon-market-watch-is-seeking-a-finance-officer-maternity-cover/
Kaisa Amaral                         ,carbon-pricing          ,global-markets                                                                                 ,"international-climate-negotiations-unfccc,article-6,global-carbon-markets"                                                                                                        ,"Markets must increase climate action, not undermine it"                                                                  ,"Markets must increase climate action, not undermine it"                                                                  ,reduce                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2019-11-27 00:00:00 ,https://carbonmarketwatch.org/2019/11/27/markets-must-increase-climate-action-not-undermine-it/
Sabine Frank                         ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-emissions-trading-system,coal-phase-out"                                                                                                                                       ,Is the German carbon pricing plan fit for purpose?                                                                        ,Is the German carbon pricing plan fit for purpose?                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/11/28/is-the-german-carbon-pricing-plan-fit-for-purpose/
Gilles Dufrasne                      ,international-transport ,2050-climate-strategies                                                                        ,"international-climate-negotiations-unfccc,article-6,international-aviation,international-civil-aviation-organisation-icao"                                                        ,COP25 outcome puts pressure on ICAO to ensure robust rules for aviation carbon market                                     ,COP25 outcome puts pressure on ICAO to ensure robust rules for aviation carbon market                                     ,The failure to agree on robust rules to prevent double-counting at the UN climate change conference puts the UN aviation body in a difficult spot as it defines which programmes will be eligible under the future aviation offsetting scheme. It will be paramount to guarantee that airlines will only be allowed to use good quality credits underlined by emission reductions which are only counted once.                                                                                                                                                                                 ,2020-01-17 00:00:00 ,https://carbonmarketwatch.org/2020/01/17/cop-25-outcome-puts-pressure-on-icao-to-ensure-robust-rules-for-aviation-carbon-market/
Sam Van den plas                     ,international-transport ,shipping                                                                                       ,"eu-emissions-trading-system,shipping"                                                                                                                                             ,Time to steer shipping into the EU carbon market                                                                          ,Time to steer shipping into the EU carbon market                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2019/11/22/time-to-steer-shipping-into-the-eu-carbon-market/
Kaisa Amaral                         ,carbon-pricing          ,global-markets                                                                                 ,"international-climate-negotiations-unfccc,human-rights-in-climate-action,article-6"                                                                                               ,Can global carbon markets help us reach the Paris climate goals?                                                          ,Can global carbon markets help us reach the Paris climate goals?                                                          ,What is the state of play of the talks on the Paris Agreement market mechanisms? How do we ensure that markets reduce emissions instead of shifting them around the globe? And that climate action drives sustainable development and benefits local communities?                                                                                                                                                                                                                                                                                                                              ,2019-11-27 00:00:00 ,https://carbonmarketwatch.org/2019/11/27/can-global-carbon-markets-help-us-reach-the-paris-climate-goals/
Sabine Frank                         ,carbon-pricing          ,eu-carbon-market                                                                               ,"eu-emissions-trading-system,coal-phase-out"                                                                                                                                       ,Wird der deutsche CO2-Preisplan der Herausforderung des Klimawandels gerecht?                                             ,Wird der deutsche CO2-Preisplan der Herausforderung des Klimawandels gerecht?                                             ,"Dieser Text basiert auf einem Interview mit dem deutschen Fernsehsender ZDF/3Sat für eine Sendung in der Reihe “Makro”, die voraussichtlich am 13. Dezember ausgestrahlt wird."                                                                                                                                                                                                                                                                                                                                                                                                               ,2019-11-28 00:00:00 ,https://carbonmarketwatch.org/2019/11/28/wird-der-deutsche-co2-preisplan-der-herausforderung-des-klimawandels-gerecht/
