title,tags,dates,text
Virginia to revise RGGI regulation over the next month -source,"Americas,US","Published 15:27 on May 8, 2020  /  Last updated at 00:45 on May 9, 2020  /  ","The Virginia Department of Environmental Quality (DEQ) will make changes this month to its previously passed RGGI-modelled carbon market regulation to accommodate state-run auctions in 2021, a regulatory source told Carbon Pulse."
"Trump administration, California still seeking timeline for remaining challenge to WCI market linkage","Americas,Canada,US","Published 22:52 on May 7, 2020  /  Last updated at 01:28 on May 9, 2020  /  ","California and US Department of Justice (DOJ) officials are working to finalise a schedule for the remaining summary judgement challenge over the WCI linkage with Quebec, with the state and intervenors in the case focused on responding to the federal government’s latest argument."
NA Markets: CCAs inch closer to floor price while RGGI dips on thin volume,"Americas,Canada,US","Published 23:47 on May 7, 2020  /  Last updated at 23:47 on May 7, 2020  /  ","California Carbon Allowance (CCA) prices flirted with the WCI auction reserve value this week amid higher compliance buying on the secondary market, while RGGI Allowances (RGAs) dipped after approaching the Emissions Containment Reserve (ECR) trigger price."
Pennsylvania committee deadlocks on RGGI recommendation as legislators urge rulemaking halt,"Americas,US","Published 23:28 on May 7, 2020  /  Last updated at 23:31 on May 7, 2020  /  ","A Pennsylvania Department of Environmental Protection (DEP) committee split on Thursday regarding whether to recommend the RGGI-modelled ETS proposal for a vote this summer, while a bipartisan group of nearly 60 legislators called on Governor Tom Wolf (D) to suspend the cap-and-trade rulemaking in the wake of the coronavirus pandemic."
CARBON PULSE CONVERSATIONS 007: The Nature Conservancy,"Africa,Americas,Asia Pacific,Aviation/CORSIA,China,China's Offset Market,Climate Talks,Conversations,EMEA,International,Kyoto Mechanisms,New Market Mechanisms,Other APAC,REDD,South & Central,US,Voluntary Market","Published 17:54 on May 7, 2020  /  Last updated at 17:54 on May 7, 2020  /  ","In the latest instalment of the Carbon Pulse Conversations podcast, we chat with Kelley Hamrick, policy advisor at US-based environmental organisation The Nature Conservancy (TNC), about coronavirus-related impacts on the Paris Agreement’s Article 6 negotiations and ICAO’s global aviation offset mechanism CORSIA."
"Virus impacts to suppress EU ETS prices into 2021, but lawmaker will seen strong -survey","Americas,Asia Pacific,Canada,China,China's National ETS,China's Offset Market,China's Pilot Markets,EMEA,EU ETS,International,US","Published 23:38 on May 6, 2020  /  Last updated at 00:28 on May 6, 2020  /  ","COVID-19 impacts will weigh on EUA prices into next year but not on EU lawmakers’ resolve to reform the market or wider climate policies, according to a survey published on Wednesday."
Oregon Clean Fuels Program registers nearly 75k surplus for Q4 2019,"Americas,RINs & LCFS,US","Published 20:27 on May 6, 2020  /  Last updated at 20:35 on May 6, 2020  /  ","The Oregon Clean Fuels Program (OCFP) saw its credit surplus nearly halve in Q4 compared to the previous three-month period, though the addition of residential electric vehicle credits for the 2019 calendar year helped build the bank further, data showed Wednesday."
"Hydro gains likely to lower California power sector’s WCI obligations for 2019, data suggests","Americas,Canada,US","Published 18:56 on May 6, 2020  /  Last updated at 02:03 on May 7, 2020  /  ","Robust California hydroelectric generation last year displaced carbon-emitting sources and mitigated lower nuclear output, likely reducing compliance obligations for the power sector in the WCI-linked ETS, according to preliminary California Energy Commission (CEC) data released Tuesday."
LCFS Market: California prices bounce back following data release,"Americas,RINs & LCFS,US","Published 16:56 on May 6, 2020  /  Last updated at 17:44 on May 6, 2020  /  ","California Low Carbon Fuel Standard (LCFS) credit prices climbed to a one-month high on Tuesday, erasing all losses after state regulator ARB posted higher-than-expected credit generation figures for Q4 2019."
"WCI auction outlook strengthens need for annual banking metric, rule-based adjustment -expert","Americas,Canada,US","Published 20:57 on May 5, 2020  /  Last updated at 23:11 on May 5, 2020  /  ","Emissions reductions stemming from the coronavirus pandemic increase the need for California to implement an annual surplus metric for its WCI-linked carbon market, with a rule-based mechanism the best solution to adjust future allowance supply, an ETS watchdog official told Carbon Pulse."
Massachusetts’ GWSA-capped emissions crater during COVID-19 pandemic,"Americas,US","Published 20:28 on May 5, 2020  /  Last updated at 23:03 on May 5, 2020  /  ","Massachusetts power generators remained significantly below their annual Global Warming Solutions Act (GWSA) CO2 limits amid the coronavirus pandemic, with two plants having barely operated during the first quarter, data shows."
Lead US climate negotiator departs for sustainability consultancy,"Americas,Aviation/CORSIA,Bavardage,Climate Talks,International,New Market Mechanisms,US","Published 16:18 on May 5, 2020  /  Last updated at 20:36 on May 5, 2020  /  ","The US State Department’s chief climate negotiator has exited President Donald Trump’s administration for a role in the sustainability consulting arm of a multinational utility, Carbon Pulse has learned."
California’s ARB grants offset verification flexibility amid coronavirus pandemic,"Americas,Canada,US","Published 18:02 on May 4, 2020  /  Last updated at 01:33 on May 5, 2020  /  ","State regulator ARB is granting some off-site verifications for California Carbon Offset (CCO) projects to mitigate the impacts of ‘shelter-in-place’ orders across the US, the agency said."
CARBON PULSE CONVERSATIONS 006: Oregon legislators,"Americas,Canada,Conversations,US","Published 17:54 on May 4, 2020  /  Last updated at 17:56 on May 4, 2020  /  ","In the latest Carbon Pulse Conversations podcast, we speak to Oregon Senator Michael Dembrow (D) and Representative Karin Power (D) about the state’s challenges to pass WCI-modelled carbon market legislation, as well as the new GHG reduction programme ordered by the governor."
Virginia’s Dominion plans higher renewables capacity ahead of RGGI linkage,"Americas,US","Published 17:10 on May 4, 2020  /  Last updated at 17:36 on May 4, 2020  /  ","Dominion Energy intends to increase its wind and solar energy capacity as the company participates in the Northeast US RGGI cap-and-trade programme over the next decade, but the Virginia utility still plans to maintain natural gas-fired generation through the state’s 2045 deadline for decarbonising the grid, it said in a filing on Friday."
Compliance entities’ California carbon positions edge down as speculators maintain holdings,"Americas,Canada,US","Published 21:33 on May 1, 2020  /  Last updated at 21:44 on May 1, 2020  /  ","Compliance entities continued to trim their California Carbon Allowance (CCA) position on the secondary market, while speculators total holdings remained roughly unchanged week-on-week, according to US Commodity Futures Trading Commission (CFTC) data released Friday."
New York’s draft RGGI regulation would trigger penalty on biomass plant,"Americas,US","Published 19:24 on May 1, 2020  /  Last updated at 01:27 on May 2, 2020  /  ","A New York-based RGGI facility must surrender allowances for failing to comply with historical obligations if the state adopts its proposed post-2020 ETS regulation, a state official confirmed on Friday."
California LCFS posts 160k credit surplus in Q4 2019,"Americas,RINs & LCFS,US","Published 16:26 on May 1, 2020  /  Last updated at 16:26 on May 1, 2020  /  ","California Low Carbon Fuel Standard (LCFS) credit generation bucked three straight quarters of deficits over the final three months of 2019, with stronger electric vehicle and renewable diesel figures helping to boost the surplus bank over 8 million tonnes to finish the year, according to data posted Thursday."
New Jersey’s RGGI emissions hide significant drops for Q1,"Americas,US","Published 15:38 on May 1, 2020  /  Last updated at 02:03 on May 2, 2020  /  ","New Jersey’s re-entrance into the Northeast US carbon market prompted RGGI emissions to rise during Q1, but this overshadowed significant reductions from the other nine member states as a result of the COVID-19 pandemic."
"NA Markets: California allowances climb on greater buying, RGGI rises on bullish post-2020 outlook","Americas,Canada,US","Published 01:27 on May 1, 2020  /  Last updated at 01:27 on May 1, 2020  /  ","California Carbon Allowance (CCA) prices neared the WCI floor price this week as higher compliance buying offset fewer sellers in the market, while RGGI Allowance (RGA) values rose to a nine-week high on bullish sentiment about post-2020 revisions to the ETS."
WCI participants complete second exchange-traded California carbon offset deal,"Americas,Canada,US","Published 20:02 on April 30, 2020  /  Last updated at 00:22 on May 1, 2020  /  ",WCI market participants traded California Carbon Offsets (CCOs) without any invalidation risk on ICE for the second time ever on Thursday.
Global CO2 emissions to see historic drop in 2020 amid virus crisis -IEA,"Americas,Asia Pacific,China,EMEA,International,US","Published 10:09 on April 30, 2020  /  Last updated at 00:12 on May 1, 2020  /  ","Countermeasures to defeat the COVID-19 pandemic including complete lockdowns in a number of countries are causing unprecedented drops in global energy demand and will likely drive a massive fall in worldwide greenhouse gas emissions this year, the International Energy Agency said Thursday."
"California watchdog urges rule-based carbon supply mechanism, questions auction structure","Americas,Canada,US","Published 23:29 on April 29, 2020  /  Last updated at 00:23 on April 30, 2020  /  ","California regulator ARB should consider a rule-based mechanism to automatically adjust allowance supply based on surplus volume, as well as tweak ETS auction provisions to sell state-owned permits simultaneously with consigned volume, a government watchdog group said Wednesday."
"New York releases draft RGGI regulation, adds peaking plants above 15 MW","Americas,US","Published 22:19 on April 29, 2020  /  Last updated at 01:25 on April 30, 2020  /  ","New York’s Department of Environmental Conservation (DEC) on Thursday released a draft RGGI regulation that aligns with the post-2020 Model Rule, with enhancements that include coverage for peaking plants under the 25MW threshold for the regional ETS."
Maine opens public comment period as it eyes finalising RGGI regulation,"Americas,US","Published 15:01 on April 29, 2020  /  Last updated at 00:43 on April 30, 2020  /  ",Maine’s Department of Environmental Protection (DEP) will begin taking comments on its revised post-2020 RGGI regulation on Wednesday after opting not to hold public hearings due to the coronavirus pandemic.
"Green Deal the ‘compass’ to guide EU’s post-virus recovery, urge Merkel, von der Leyen","Americas,Australia,Canada,Carbon Taxes,China,Climate Talks,EMEA,EU ETS,International,Japan,Shipping,South Korea,US","Published 22:46 on April 28, 2020  /  Last updated at 22:51 on April 28, 2020  /  ","German Chancellor Angela Merkel on Tuesday reiterated her support for a more ambitious EU emissions reduction target for 2030, and along with European Commission President Ursula von der Leyen urged fellow lawmakers to ensure that the bloc’s Green Deal is a central and guiding component of Europe’s post-coronavirus recovery plan."
"California gasoline consumption dips in January, cutting WCI carbon obligations","Americas,Canada,US","Published 22:35 on April 28, 2020  /  Last updated at 00:17 on April 29, 2020  /  ","California gasoline consumption declined year-on-year in January while diesel sales rose over the month, but the statewide ‘shelter-in-place’ order implemented in March to quell the spread of the coronavirus is expected to cause those figures to plummet."
New England ISO power data suggests Q1 emissions drop due to COVID-19,"Americas,US","Published 18:47 on April 28, 2020  /  Last updated at 00:24 on April 29, 2020  /  ","New England ISO (NE-ISO) electricity generation slid during the first quarter amid the COVID-19 pandemic, likely reducing entities’ compliance obligations in the US Northeast RGGI ETS, data suggests."
California legislators ask governor to resist climate policy rollback amid COVID-19,"Americas,Canada,RINs & LCFS,US","Published 17:21 on April 28, 2020  /  Last updated at 00:26 on April 29, 2020  /  ","Three dozen California lawmakers asked Governor Gavin Newsom (D) on Monday to hold firm on environmental and public health regulations during the COVID-19 pandemic, citing industry attempts to utilise the virus outbreak to weaken those policies."
"California rulemaking timeline uncertain for tweaks to power, industrial free allocation","Americas,Canada,US","Published 23:00 on April 27, 2020  /  Last updated at 03:01 on April 28, 2020  /  ","California regulator ARB does not yet have a timeline for the next rulemaking process that will alter future power and industrial sector allocations under the state’s ETS, with some sources saying the state could wait until the full impact of the COVID-19 pandemic is known."
Direct air capture technology faces $100/tonne floor without mass deployment -experts,"Americas,Canada,International,New Market Mechanisms,RINs & LCFS,US,Voluntary Market","Published 21:39 on April 27, 2020  /  Last updated at 03:24 on April 28, 2020  /  ","Companies may see the cost of removing GHG emissions through direct air capture (DAC) technologies bottom out at $100 per tonne in the near term, according to experts, even as some entities say they can realise cheaper abatement opportunities."
Virginia EJ groups assail climate bill as governor removes final RGGI hurdle,"Americas,US","Published 18:33 on April 27, 2020  /  Last updated at 03:05 on April 28, 2020  /  ","Virginia environmental justice (EJ) organisations have labelled a recently-passed climate bill inadequate despite it setting a 100% carbon-free power sector goal and allowing the state to join the RGGI ETS, while Governor Ralph Northam (D) removed the final hurdle to link with the US Northeast cap-and-trade programme next year."
Speculators’ California carbon allowance positions stabilise as prices rise,"Americas,Canada,US","Published 21:43 on April 24, 2020  /  Last updated at 23:43 on April 24, 2020  /  ","Speculators’ total California Carbon Allowance (CCA) holdings remained mostly flat week-on-week as prices climbed on the secondary market, while compliance entities further trimmed their position, according to US Commodity Futures Trading Commission (CFTC) data released Friday."
CARBON PULSE CONVERSATIONS 004: Stillwater Associates,"Americas,Canada,Conversations,RINs & LCFS,US,Voluntary Market","Published 18:36 on April 24, 2020  /  Last updated at 18:36 on April 24, 2020  /  ","In the latest Carbon Pulse Conversations podcast, we speak to Megan Boutwell, vice president of operations at US-based consultancy Stillwater Associates, about the coronavirus-related impacts on the California Low Carbon Fuel Standard (LCFS) and neighbouring transportation sector clean fuels markets."
Pennsylvania GOP legislators seek rescinding of RGGI order amid virus disruptions,"Americas,US","Published 18:31 on April 24, 2020  /  Last updated at 23:40 on April 24, 2020  /  ",Pennsylvania Republican lawmakers have urged Governor Tom Wolf (D) to withdraw his executive order that requires the Department of Environmental Protection (DEP) to draft a RGGI-modelled cap-and-trade programme by this summer.
US Supreme Court to weigh lawsuit next month against RFS compliance placement,"Americas,RINs & LCFS,US","Published 17:17 on April 24, 2020  /  Last updated at 18:59 on April 24, 2020  /  ","The US Supreme Court will decide at a May conference whether to take up a case that challenges the point of obligation under the Renewable Fuel Standard (RFS), with refiners arguing the EPA should reconsider that facet of the biofuels programme on an annual basis."
NA Markets: California allowances test $16 level again as RGGI dips on thin volume,"Americas,Canada,US","Published 22:40 on April 23, 2020  /  Last updated at 22:40 on April 23, 2020  /  ","California Carbon Allowances (CCA) continued to rise on the secondary market this week as prices oscillated around the $16.00 mark, while RGGI Allowances (RGAs) dropped on relatively thin volume."
Pennsylvania proposes 78-Mt emissions cap for RGGI-aligned carbon market,"Americas,US","Published 18:16 on April 23, 2020  /  Last updated at 08:39 on April 24, 2020  /  ","Pennsylvania has put forth an initial carbon budget of 78 million tons for its draft power sector ETS, as a RGGI-aligned programme would force coal power offline but still keep natural gas supplying over half of the state’s electricity through 2030, according to an analysis published Thursday."
Exchange operator ICE launches global carbon market index,"Americas,Asia Pacific,Bavardage,Canada,EMEA,EU ETS,International,US","Published 23:03 on April 22, 2020  /  Last updated at 23:10 on April 22, 2020  /  ","Exchange operator ICE on Wednesday announced the launch of a new carbon market index, joining a growing number of companies seeking to track allowance prices in the world’s major greenhouse gas emissions trading systems."
California mints 1.2 mln offsets in first issuance since March,"Americas,Canada,US,Voluntary Market","Published 22:57 on April 22, 2020  /  Last updated at 23:25 on April 22, 2020  /  ","California issued nearly 1.2 mln new offsets and reduced the invalidation period on an additional 2.3 mln existing credits, according to data published by regulator ARB on Wednesday."
California relying on natural gas generation during COVID-19 lockdown,"Americas,Canada,US","Published 18:04 on April 22, 2020  /  Last updated at 23:32 on April 22, 2020  /  ","Natural gas generation is accounting for a larger share of California’s power mix amid the coronavirus pandemic, likely mitigating some electricity demand destruction caused by the statewide ‘shelter-in-place’ order."
RFS Market: RIN prices slide as oil lobby requests biofuel mandate adjustment,"Americas,RINs & LCFS,US","Published 19:38 on April 21, 2020  /  Last updated at 22:35 on April 21, 2020  /  ",US biofuel credit prices receded Tuesday as a major oil industry trade group requested the EPA change biofuel quotas under the Renewable Fuel Standard (RFS) due to a recent court ruling.
"US seeks judgement on challenge to WCI market linkage, asks for dismissal on another claim","Americas,Canada,US","Published 19:16 on April 21, 2020  /  Last updated at 00:58 on April 22, 2020  /  ","The US Department of Justice (DOJ) has asked a federal judge to find California’s ETS linkage with Quebec illegal because it conflicts with the government’s position on climate change and limits President Donald Trump’s leverage, while it also sought to dismiss its remaining challenge against the cross-border scheme, according to court documents filed Monday."
"US states, power companies argue EPA erred in ACE rule trading ban","Americas,US","Published 22:39 on April 20, 2020  /  Last updated at 22:39 on April 20, 2020  /  ","The US EPA incorrectly interpreted the Clean Air Act by not allowing emissions trading to meet states’ Affordable Clean Energy (ACE) obligations, a collection of mostly Democrat-led US jurisdictions and power sector entities contended in court filings Friday."
"California developing ‘DEBs’ application for compliance offsets, sources say","Americas,Canada,US","Published 18:56 on April 20, 2020  /  Last updated at 00:36 on April 21, 2020  /  ","California regulator ARB is working on a formal process to determine compliance offsets that provide a direct environmental benefit to the state (DEBs), but it is unclear when that application may be finalised, regulatory sources said."
Speculators’ California carbon positions rise alongside secondary market prices,"Americas,Canada,US","Published 21:25 on April 17, 2020  /  Last updated at 21:25 on April 17, 2020  /  ","Speculators grew their California Carbon Allowance (CCA) holdings and reversed four consecutive weeks of declines, while compliance entities appeared to trim their positions this past week, US Commodity Futures Trading Commission (CFTC) data showed Friday."
Marathon to temporarily idle California’s Martinez refinery,"Americas,Canada,RINs & LCFS,US","Published 19:52 on April 17, 2020  /  Last updated at 21:48 on April 17, 2020  /  ","Marathon Petroleum announced Friday that it will idle its Martinez refinery this month because of lower demand due to the COVID-19 pandemic, potentially lessening the company’s compliance obligations under the California Low Carbon Fuel Standard (LCFS) and WCI cap-and-trade programme."
Virginia to install state-run RGGI auctions after bill passage,"Americas,US","Published 16:43 on April 17, 2020  /  Last updated at 16:43 on April 17, 2020  /  ",The Virginia Department of Environmental Quality (DEQ) will revise its existing RGGI-modelled cap-and-trade regulation to implement state-run auctions as the state eyes entering the Northeast US power sector carbon market next year.
Pennsylvania GOP legislator requests halt to RGGI proceedings amid virus pandemic,"Americas,US","Published 15:36 on April 17, 2020  /  Last updated at 15:36 on April 17, 2020  /  ","Pennsylvania’s House environment committee chair has called for Governor Tom Wolf’s (D) administration to scrap plans for crafting a draft RGGI-aligned ETS regulation, arguing the programme would be a detriment to residents and businesses in light of the coronavirus outbreak."
ANALYSIS: Virus fallout means 2020 a write-off for airlines’ CORSIA offset purchases,"Africa,Americas,Asia Pacific,Aviation/CORSIA,China's Offset Market,Climate Talks,EMEA,International,New Market Mechanisms,Other APAC,REDD,RINs & LCFS,South & Central,US,Voluntary Market","Published 22:48 on April 16, 2020  /  Last updated at 10:19 on April 17, 2020  /  ","The bottom fell out of the CORSIA international aviation offset market almost as soon as it began with the coronavirus fallout grounding airlines worldwide, yielding slim prospects for even limited test buying this year."
Virginia utility Dominion registers for RGGI programme ahead of June auction,"Americas,US","Published 22:39 on April 16, 2020  /  Last updated at 00:41 on April 17, 2020  /  ","Major Virginia-based utility Dominion Energy has opened a RGGI Compliance Allowance Tracking System (COATS) account, enabling the company to purchase allowances at future auctions or take delivery from the secondary market in the Northeast US ETS."
"NA Markets: California carbon briefly tests $16 mark, while RGGI hits 1-month high","Americas,Canada,US","Published 22:36 on April 16, 2020  /  Last updated at 00:36 on April 17, 2020  /  ","California Carbon Allowance (CCA) prices rose by nearly a dollar during the week as regulated parties were said to have ramped up their purchases, while RGGI allowances (RGAs) hit a one-month high on thinly traded volume."
